policy,case,frame,pid,tracking_representative,published_surface,members,tracking_unchanged,stale,reason,fresh
P0,J_LARGE_JUMP_WEAK,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P0,J_LARGE_JUMP_WEAK,1,1,2,2,1|2,1,0,BASELINE_TRACKING_REP,1
P0,K_LARGE_JUMP_STRONG,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P0,K_LARGE_JUMP_STRONG,1,1,2,2,1|2,1,0,BASELINE_TRACKING_REP,1
P0,L_THREE_MEMBER_TRUCK,0,1,1,1,1|2|3,1,0,BASELINE_TRACKING_REP,1
P0,L_THREE_MEMBER_TRUCK,1,1,2,2,1|2|3,1,0,BASELINE_TRACKING_REP,1
P0,M_INPUT_RESET,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P0,M_INPUT_RESET,1,1,2,2,1|2,1,0,BASELINE_TRACKING_REP,1
P0,N_SEGMENT_RESET,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P0,N_SEGMENT_RESET,1,1,2,2,1|2,1,0,BASELINE_TRACKING_REP,1
P0,O_CUTIN_NEW_MEMBER,0,1,1,1,1,1,0,BASELINE_TRACKING_REP,1
P0,O_CUTIN_NEW_MEMBER,1,1,2,2,1|2,1,0,BASELINE_TRACKING_REP,1
P1,A_SINGLE_MEMBER_STABLE,0,1,1,1,1,1,0,BASELINE_TRACKING_REP,1
P1,A_SINGLE_MEMBER_STABLE,1,1,1,1,1,1,0,BASELINE_TRACKING_REP,1
P1,B_TWO_MEMBER_REP_STABLE,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P1,B_TWO_MEMBER_REP_STABLE,1,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P1,C_ONE_SCAN_NEAR_TIE_SWITCH,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P1,C_ONE_SCAN_NEAR_TIE_SWITCH,1,1,2,1,1|2,1,0,P1_STICKY_NEAR_TIE,1
P1,D_A_B_A,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P1,D_A_B_A,1,1,2,1,1|2,1,0,P1_STICKY_NEAR_TIE,1
P1,D_A_B_A,2,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P1,E_OLD_SURFACE_DISAPPEARS,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P1,E_OLD_SURFACE_DISAPPEARS,1,1,2,2,2,1,0,BASELINE_TRACKING_REP,1
P1,F_MEMBER_SET_CHANGE,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P1,F_MEMBER_SET_CHANGE,1,1,2,2,1|2|3,1,0,BASELINE_TRACKING_REP,1
P1,G_PID_CHANGE,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P1,G_PID_CHANGE,1,2,2,2,1|2,1,0,BASELINE_TRACKING_REP,1
P1,H_NEW_REP_CAMERA_SUPPORT,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P1,H_NEW_REP_CAMERA_SUPPORT,1,1,2,1,1|2,1,0,P1_STICKY_NEAR_TIE,1
P1,I_NEW_REP_OEM_SUPPORT,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P1,I_NEW_REP_OEM_SUPPORT,1,1,2,1,1|2,1,0,P1_STICKY_NEAR_TIE,1
P1,J_LARGE_JUMP_WEAK,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P1,J_LARGE_JUMP_WEAK,1,1,2,1,1|2,1,0,P1_STICKY_NEAR_TIE,1
P1,K_LARGE_JUMP_STRONG,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P1,K_LARGE_JUMP_STRONG,1,1,2,1,1|2,1,0,P1_STICKY_NEAR_TIE,1
P1,L_THREE_MEMBER_TRUCK,0,1,1,1,1|2|3,1,0,BASELINE_TRACKING_REP,1
P1,L_THREE_MEMBER_TRUCK,1,1,2,1,1|2|3,1,0,P1_STICKY_NEAR_TIE,1
P1,M_INPUT_RESET,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P1,M_INPUT_RESET,1,1,2,2,1|2,1,0,BASELINE_TRACKING_REP,1
P1,N_SEGMENT_RESET,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P1,N_SEGMENT_RESET,1,1,2,2,1|2,1,0,BASELINE_TRACKING_REP,1
P1,O_CUTIN_NEW_MEMBER,0,1,1,1,1,1,0,BASELINE_TRACKING_REP,1
P1,O_CUTIN_NEW_MEMBER,1,1,2,2,1|2,1,0,BASELINE_TRACKING_REP,1
P2,A_SINGLE_MEMBER_STABLE,0,1,1,1,1,1,0,BASELINE_TRACKING_REP,1
P2,A_SINGLE_MEMBER_STABLE,1,1,1,1,1,1,0,BASELINE_TRACKING_REP,1
P2,B_TWO_MEMBER_REP_STABLE,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P2,B_TWO_MEMBER_REP_STABLE,1,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P2,C_ONE_SCAN_NEAR_TIE_SWITCH,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P2,C_ONE_SCAN_NEAR_TIE_SWITCH,1,1,2,2,1|2,1,0,BASELINE_TRACKING_REP,1
P2,D_A_B_A,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P2,D_A_B_A,1,1,2,2,1|2,1,0,BASELINE_TRACKING_REP,1
P2,D_A_B_A,2,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P2,E_OLD_SURFACE_DISAPPEARS,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P2,E_OLD_SURFACE_DISAPPEARS,1,1,2,2,2,1,0,BASELINE_TRACKING_REP,1
P2,F_MEMBER_SET_CHANGE,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P2,F_MEMBER_SET_CHANGE,1,1,2,2,1|2|3,1,0,BASELINE_TRACKING_REP,1
P2,G_PID_CHANGE,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P2,G_PID_CHANGE,1,2,2,2,1|2,1,0,BASELINE_TRACKING_REP,1
P2,H_NEW_REP_CAMERA_SUPPORT,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P2,H_NEW_REP_CAMERA_SUPPORT,1,1,2,2,1|2,1,0,BASELINE_TRACKING_REP,1
P2,I_NEW_REP_OEM_SUPPORT,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P2,I_NEW_REP_OEM_SUPPORT,1,1,2,2,1|2,1,0,BASELINE_TRACKING_REP,1
P2,J_LARGE_JUMP_WEAK,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P2,J_LARGE_JUMP_WEAK,1,1,2,2,1|2,1,0,BASELINE_TRACKING_REP,1
P2,K_LARGE_JUMP_STRONG,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P2,K_LARGE_JUMP_STRONG,1,1,2,2,1|2,1,0,BASELINE_TRACKING_REP,1
P2,L_THREE_MEMBER_TRUCK,0,1,1,1,1|2|3,1,0,BASELINE_TRACKING_REP,1
P2,L_THREE_MEMBER_TRUCK,1,1,2,2,1|2|3,1,0,BASELINE_TRACKING_REP,1
P2,M_INPUT_RESET,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P2,M_INPUT_RESET,1,1,2,2,1|2,1,0,BASELINE_TRACKING_REP,1
P2,N_SEGMENT_RESET,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P2,N_SEGMENT_RESET,1,1,2,2,1|2,1,0,BASELINE_TRACKING_REP,1
P2,O_CUTIN_NEW_MEMBER,0,1,1,1,1,1,0,BASELINE_TRACKING_REP,1
P2,O_CUTIN_NEW_MEMBER,1,1,2,2,1|2,1,0,BASELINE_TRACKING_REP,1
P3,A_SINGLE_MEMBER_STABLE,0,1,1,1,1,1,0,BASELINE_TRACKING_REP,1
P3,A_SINGLE_MEMBER_STABLE,1,1,1,1,1,1,0,BASELINE_TRACKING_REP,1
P3,B_TWO_MEMBER_REP_STABLE,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P3,B_TWO_MEMBER_REP_STABLE,1,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P3,C_ONE_SCAN_NEAR_TIE_SWITCH,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P3,C_ONE_SCAN_NEAR_TIE_SWITCH,1,1,2,2,1|2,1,0,BASELINE_TRACKING_REP,1
P3,D_A_B_A,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P3,D_A_B_A,1,1,2,2,1|2,1,0,BASELINE_TRACKING_REP,1
P3,D_A_B_A,2,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P3,E_OLD_SURFACE_DISAPPEARS,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P3,E_OLD_SURFACE_DISAPPEARS,1,1,2,2,2,1,0,BASELINE_TRACKING_REP,1
P3,F_MEMBER_SET_CHANGE,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P3,F_MEMBER_SET_CHANGE,1,1,2,2,1|2|3,1,0,BASELINE_TRACKING_REP,1
P3,G_PID_CHANGE,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P3,G_PID_CHANGE,1,2,2,2,1|2,1,0,BASELINE_TRACKING_REP,1
P3,H_NEW_REP_CAMERA_SUPPORT,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P3,H_NEW_REP_CAMERA_SUPPORT,1,1,2,2,1|2,1,0,BASELINE_TRACKING_REP,1
P3,I_NEW_REP_OEM_SUPPORT,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P3,I_NEW_REP_OEM_SUPPORT,1,1,2,2,1|2,1,0,BASELINE_TRACKING_REP,1
P3,J_LARGE_JUMP_WEAK,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P3,J_LARGE_JUMP_WEAK,1,1,2,1,1|2,1,0,P3_LARGE_JUMP_WEAK_ADVANTAGE,1
P3,K_LARGE_JUMP_STRONG,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P3,K_LARGE_JUMP_STRONG,1,1,2,1,1|2,1,0,P3_LARGE_JUMP_WEAK_ADVANTAGE,1
P3,L_THREE_MEMBER_TRUCK,0,1,1,1,1|2|3,1,0,BASELINE_TRACKING_REP,1
P3,L_THREE_MEMBER_TRUCK,1,1,2,2,1|2|3,1,0,BASELINE_TRACKING_REP,1
P3,M_INPUT_RESET,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P3,M_INPUT_RESET,1,1,2,2,1|2,1,0,BASELINE_TRACKING_REP,1
P3,N_SEGMENT_RESET,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P3,N_SEGMENT_RESET,1,1,2,2,1|2,1,0,BASELINE_TRACKING_REP,1
P3,O_CUTIN_NEW_MEMBER,0,1,1,1,1,1,0,BASELINE_TRACKING_REP,1
P3,O_CUTIN_NEW_MEMBER,1,1,2,2,1|2,1,0,BASELINE_TRACKING_REP,1
P4,A_SINGLE_MEMBER_STABLE,0,1,1,1,1,1,0,BASELINE_TRACKING_REP,1
P4,A_SINGLE_MEMBER_STABLE,1,1,1,1,1,1,0,BASELINE_TRACKING_REP,1
P4,B_TWO_MEMBER_REP_STABLE,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P4,B_TWO_MEMBER_REP_STABLE,1,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P4,C_ONE_SCAN_NEAR_TIE_SWITCH,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P4,C_ONE_SCAN_NEAR_TIE_SWITCH,1,1,2,1,1|2,1,0,P4_SUPPORT_AWARE_STICKY,1
P4,D_A_B_A,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P4,D_A_B_A,1,1,2,1,1|2,1,0,P4_SUPPORT_AWARE_STICKY,1
P4,D_A_B_A,2,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P4,E_OLD_SURFACE_DISAPPEARS,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P4,E_OLD_SURFACE_DISAPPEARS,1,1,2,2,2,1,0,BASELINE_TRACKING_REP,1
P4,F_MEMBER_SET_CHANGE,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P4,F_MEMBER_SET_CHANGE,1,1,2,2,1|2|3,1,0,BASELINE_TRACKING_REP,1
P4,G_PID_CHANGE,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P4,G_PID_CHANGE,1,2,2,2,1|2,1,0,BASELINE_TRACKING_REP,1
P4,H_NEW_REP_CAMERA_SUPPORT,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P4,H_NEW_REP_CAMERA_SUPPORT,1,1,2,2,1|2,1,0,BASELINE_TRACKING_REP,1
P4,I_NEW_REP_OEM_SUPPORT,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P4,I_NEW_REP_OEM_SUPPORT,1,1,2,2,1|2,1,0,BASELINE_TRACKING_REP,1
P4,J_LARGE_JUMP_WEAK,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P4,J_LARGE_JUMP_WEAK,1,1,2,1,1|2,1,0,P4_SUPPORT_AWARE_STICKY,1
P4,K_LARGE_JUMP_STRONG,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P4,K_LARGE_JUMP_STRONG,1,1,2,1,1|2,1,0,P4_SUPPORT_AWARE_STICKY,1
P4,L_THREE_MEMBER_TRUCK,0,1,1,1,1|2|3,1,0,BASELINE_TRACKING_REP,1
P4,L_THREE_MEMBER_TRUCK,1,1,2,1,1|2|3,1,0,P4_SUPPORT_AWARE_STICKY,1
P4,M_INPUT_RESET,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P4,M_INPUT_RESET,1,1,2,2,1|2,1,0,BASELINE_TRACKING_REP,1
P4,N_SEGMENT_RESET,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P4,N_SEGMENT_RESET,1,1,2,2,1|2,1,0,BASELINE_TRACKING_REP,1
P4,O_CUTIN_NEW_MEMBER,0,1,1,1,1,1,0,BASELINE_TRACKING_REP,1
P4,O_CUTIN_NEW_MEMBER,1,1,2,2,1|2,1,0,BASELINE_TRACKING_REP,1
P5,A_SINGLE_MEMBER_STABLE,0,1,1,1,1,1,0,BASELINE_TRACKING_REP,1
P5,A_SINGLE_MEMBER_STABLE,1,1,1,1,1,1,0,BASELINE_TRACKING_REP,1
P5,B_TWO_MEMBER_REP_STABLE,0,1,1,1,1|2,1,0,P5_CURRENT_MEMBER_MEDOID,1
P5,B_TWO_MEMBER_REP_STABLE,1,1,1,1,1|2,1,0,P5_CURRENT_MEMBER_MEDOID,1
P5,C_ONE_SCAN_NEAR_TIE_SWITCH,0,1,1,1,1|2,1,0,P5_CURRENT_MEMBER_MEDOID,1
P5,C_ONE_SCAN_NEAR_TIE_SWITCH,1,1,2,2,1|2,1,0,P5_CURRENT_MEMBER_MEDOID,1
P5,D_A_B_A,0,1,1,1,1|2,1,0,P5_CURRENT_MEMBER_MEDOID,1
P5,D_A_B_A,1,1,2,2,1|2,1,0,P5_CURRENT_MEMBER_MEDOID,1
P5,D_A_B_A,2,1,1,1,1|2,1,0,P5_CURRENT_MEMBER_MEDOID,1
P5,E_OLD_SURFACE_DISAPPEARS,0,1,1,1,1|2,1,0,P5_CURRENT_MEMBER_MEDOID,1
P5,E_OLD_SURFACE_DISAPPEARS,1,1,2,2,2,1,0,BASELINE_TRACKING_REP,1
P5,F_MEMBER_SET_CHANGE,0,1,1,1,1|2,1,0,P5_CURRENT_MEMBER_MEDOID,1
P5,F_MEMBER_SET_CHANGE,1,1,2,2,1|2|3,1,0,P5_CURRENT_MEMBER_MEDOID,1
P5,G_PID_CHANGE,0,1,1,1,1|2,1,0,P5_CURRENT_MEMBER_MEDOID,1
P5,G_PID_CHANGE,1,2,2,2,1|2,1,0,P5_CURRENT_MEMBER_MEDOID,1
P5,H_NEW_REP_CAMERA_SUPPORT,0,1,1,1,1|2,1,0,P5_CURRENT_MEMBER_MEDOID,1
P5,H_NEW_REP_CAMERA_SUPPORT,1,1,2,2,1|2,1,0,P5_CURRENT_MEMBER_MEDOID,1
P5,I_NEW_REP_OEM_SUPPORT,0,1,1,1,1|2,1,0,P5_CURRENT_MEMBER_MEDOID,1
P5,I_NEW_REP_OEM_SUPPORT,1,1,2,2,1|2,1,0,P5_CURRENT_MEMBER_MEDOID,1
P5,J_LARGE_JUMP_WEAK,0,1,1,1,1|2,1,0,P5_CURRENT_MEMBER_MEDOID,1
P5,J_LARGE_JUMP_WEAK,1,1,2,1,1|2,1,0,P5_CURRENT_MEMBER_MEDOID,1
P5,K_LARGE_JUMP_STRONG,0,1,1,1,1|2,1,0,P5_CURRENT_MEMBER_MEDOID,1
P5,K_LARGE_JUMP_STRONG,1,1,2,2,1|2,1,0,P5_CURRENT_MEMBER_MEDOID,1
P5,L_THREE_MEMBER_TRUCK,0,1,1,3,1|2|3,1,0,P5_CURRENT_MEMBER_MEDOID,1
P5,L_THREE_MEMBER_TRUCK,1,1,2,3,1|2|3,1,0,P5_CURRENT_MEMBER_MEDOID,1
P5,M_INPUT_RESET,0,1,1,1,1|2,1,0,P5_CURRENT_MEMBER_MEDOID,1
P5,M_INPUT_RESET,1,1,2,2,1|2,1,0,P5_CURRENT_MEMBER_MEDOID,1
P5,N_SEGMENT_RESET,0,1,1,1,1|2,1,0,P5_CURRENT_MEMBER_MEDOID,1
P5,N_SEGMENT_RESET,1,1,2,2,1|2,1,0,P5_CURRENT_MEMBER_MEDOID,1
P5,O_CUTIN_NEW_MEMBER,0,1,1,1,1,1,0,BASELINE_TRACKING_REP,1
P5,O_CUTIN_NEW_MEMBER,1,1,2,2,1|2,1,0,P5_CURRENT_MEMBER_MEDOID,1
P6,A_SINGLE_MEMBER_STABLE,0,1,1,1,1,1,0,BASELINE_TRACKING_REP,1
P6,A_SINGLE_MEMBER_STABLE,1,1,1,1,1,1,0,BASELINE_TRACKING_REP,1
P6,B_TWO_MEMBER_REP_STABLE,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P6,B_TWO_MEMBER_REP_STABLE,1,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P6,C_ONE_SCAN_NEAR_TIE_SWITCH,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P6,C_ONE_SCAN_NEAR_TIE_SWITCH,1,1,2,2,1|2,1,0,BASELINE_TRACKING_REP,1
P6,D_A_B_A,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P6,D_A_B_A,1,1,2,2,1|2,1,0,BASELINE_TRACKING_REP,1
P6,D_A_B_A,2,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P6,E_OLD_SURFACE_DISAPPEARS,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P6,E_OLD_SURFACE_DISAPPEARS,1,1,2,2,2,1,0,BASELINE_TRACKING_REP,1
P6,F_MEMBER_SET_CHANGE,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P6,F_MEMBER_SET_CHANGE,1,1,2,2,1|2|3,1,0,BASELINE_TRACKING_REP,1
P6,G_PID_CHANGE,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P6,G_PID_CHANGE,1,2,2,2,1|2,1,0,BASELINE_TRACKING_REP,1
P6,H_NEW_REP_CAMERA_SUPPORT,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P6,H_NEW_REP_CAMERA_SUPPORT,1,1,2,2,1|2,1,0,BASELINE_TRACKING_REP,1
P6,I_NEW_REP_OEM_SUPPORT,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P6,I_NEW_REP_OEM_SUPPORT,1,1,2,2,1|2,1,0,BASELINE_TRACKING_REP,1
P6,J_LARGE_JUMP_WEAK,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P6,J_LARGE_JUMP_WEAK,1,1,2,1,1|2,1,0,P6_NARROW_PINGPONG_OR_JUMP,1
P6,K_LARGE_JUMP_STRONG,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P6,K_LARGE_JUMP_STRONG,1,1,2,1,1|2,1,0,P6_NARROW_PINGPONG_OR_JUMP,1
P6,L_THREE_MEMBER_TRUCK,0,1,1,1,1|2|3,1,0,BASELINE_TRACKING_REP,1
P6,L_THREE_MEMBER_TRUCK,1,1,2,2,1|2|3,1,0,BASELINE_TRACKING_REP,1
P6,M_INPUT_RESET,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P6,M_INPUT_RESET,1,1,2,2,1|2,1,0,BASELINE_TRACKING_REP,1
P6,N_SEGMENT_RESET,0,1,1,1,1|2,1,0,BASELINE_TRACKING_REP,1
P6,N_SEGMENT_RESET,1,1,2,2,1|2,1,0,BASELINE_TRACKING_REP,1
P6,O_CUTIN_NEW_MEMBER,0,1,1,1,1,1,0,BASELINE_TRACKING_REP,1
P6,O_CUTIN_NEW_MEMBER,1,1,2,2,1|2,1,0,BASELINE_TRACKING_REP,1
