candidate,case,scans,final_partition,split_events,rejoin_events,pid_births,representative_changes,state_peak
B_CONFIRMATION,M_TRUCK_ELONGATED_PLUS_ADJACENT,5,1|2;3,0,0,3,0,2
C_QUANTIZED,A_STABLE_PAIR,5,1|2,0,0,2,0,2
C_QUANTIZED,B_DISTANCE_AT_THRESHOLD,5,1|2,0,0,2,0,2
C_QUANTIZED,C_DISTANCE_PLUS_ONE_STEP,5,1|2,0,0,2,0,2
C_QUANTIZED,D_LATERAL_PLUS_ONE_STEP,5,1|2,0,0,2,0,2
C_QUANTIZED,E_LATERAL_GROWTH,5,1|2,0,0,2,0,2
C_QUANTIZED,F_ONE_SCAN_SPLIT_REJOIN,9,1|2,1,1,3,0,2
C_QUANTIZED,G_TEN_OSCILLATIONS,44,1|2,10,10,12,0,2
C_QUANTIZED,H_THREE_MEMBER_CHAIN,5,1;2|3,0,0,3,0,4
C_QUANTIZED,I_THREE_MEMBER_EDGE_OSCILLATION,20,1|2|3,4,4,7,0,6
C_QUANTIZED,J_REPRESENTATIVE_DISAPPEARANCE,7,2,0,0,2,1,2
C_QUANTIZED,K_NEW_THIRD_RAW_APPROACH,9,1|2|3,0,0,3,0,6
C_QUANTIZED,L_TWO_INDEPENDENT_CLOSE_GROUPS,5,1|2;3|4,0,0,4,0,4
C_QUANTIZED,M_TRUCK_ELONGATED_PLUS_ADJACENT,5,1|2;3,0,0,3,0,2
D_STABLE_CORE,A_STABLE_PAIR,5,1|2,0,0,2,0,2
D_STABLE_CORE,B_DISTANCE_AT_THRESHOLD,5,1|2,0,0,2,0,2
D_STABLE_CORE,C_DISTANCE_PLUS_ONE_STEP,5,1;2,1,0,3,0,2
D_STABLE_CORE,D_LATERAL_PLUS_ONE_STEP,5,1;2,1,0,3,0,2
D_STABLE_CORE,E_LATERAL_GROWTH,5,1;2,1,0,3,0,2
D_STABLE_CORE,F_ONE_SCAN_SPLIT_REJOIN,9,1|2,1,1,3,0,2
D_STABLE_CORE,G_TEN_OSCILLATIONS,44,1|2,10,10,12,0,2
D_STABLE_CORE,H_THREE_MEMBER_CHAIN,5,1;2|3,0,0,3,0,4
D_STABLE_CORE,I_THREE_MEMBER_EDGE_OSCILLATION,20,1|2|3,4,4,7,0,6
D_STABLE_CORE,J_REPRESENTATIVE_DISAPPEARANCE,7,2,0,0,2,1,2
D_STABLE_CORE,K_NEW_THIRD_RAW_APPROACH,9,1|2|3,0,0,3,0,6
D_STABLE_CORE,L_TWO_INDEPENDENT_CLOSE_GROUPS,5,1|2;3|4,0,0,4,0,4
D_STABLE_CORE,M_TRUCK_ELONGATED_PLUS_ADJACENT,5,1|2;3,0,0,3,0,2
E_REP_HOLD,A_STABLE_PAIR,5,1|2,0,0,2,0,0
E_REP_HOLD,B_DISTANCE_AT_THRESHOLD,5,1|2,0,0,2,0,0
E_REP_HOLD,C_DISTANCE_PLUS_ONE_STEP,5,1;2,1,0,3,0,0
E_REP_HOLD,D_LATERAL_PLUS_ONE_STEP,5,1;2,1,0,3,0,0
E_REP_HOLD,E_LATERAL_GROWTH,5,1;2,1,0,3,0,0
E_REP_HOLD,F_ONE_SCAN_SPLIT_REJOIN,9,1|2,1,1,3,0,0
E_REP_HOLD,G_TEN_OSCILLATIONS,44,1|2,10,10,12,0,0
E_REP_HOLD,H_THREE_MEMBER_CHAIN,5,1;2|3,0,0,3,0,0
E_REP_HOLD,I_THREE_MEMBER_EDGE_OSCILLATION,20,1|2|3,4,4,7,0,0
E_REP_HOLD,J_REPRESENTATIVE_DISAPPEARANCE,7,2,0,0,2,1,0
E_REP_HOLD,K_NEW_THIRD_RAW_APPROACH,9,1|2|3,0,0,3,0,0
E_REP_HOLD,L_TWO_INDEPENDENT_CLOSE_GROUPS,5,1|2;3|4,0,0,4,0,0
E_REP_HOLD,M_TRUCK_ELONGATED_PLUS_ADJACENT,5,1|2;3,0,0,3,0,0
