policy,case,frame,chosen,members,stale,baseline_best,prior_rep,score_delta,jump_d,jump_y,jump_v,reason,state_size
E1,C_MARGINALLY_BETTER_THREE_SCANS,1,2,1|2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,BASELINE_BEST,1
E1,C_MARGINALLY_BETTER_THREE_SCANS,2,2,1|2,0,2,2,0.0,0.0,0.0,0.0,BASELINE_BEST,1
E1,C_MARGINALLY_BETTER_THREE_SCANS,3,2,1|2,0,2,2,0.0,0.0,0.0,0.0,BASELINE_BEST,1
E1,D_A_B_A_PINGPONG,0,1,1|2,0,,,,,,,,
E1,D_A_B_A_PINGPONG,1,2,1|2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,BASELINE_BEST,1
E1,D_A_B_A_PINGPONG,2,1,1|2,0,1,2,0.7499999999999971,1.0,0.1,0.0,BASELINE_BEST,1
E1,D_A_B_A_PINGPONG,3,1,1|2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,E1_RECENT_REP_PINGPONG,1
E1,E_OLD_REP_DISAPPEARS,0,1,1|2,0,,,,,,,,
E1,E_OLD_REP_DISAPPEARS,1,2,2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,E1_RECENT_REP_PINGPONG,0
E1,F_STRONG_CAMERA_SUPPORT,0,1,1|2,0,,,,,,,,
E1,F_STRONG_CAMERA_SUPPORT,1,2,1|2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,BASELINE_BEST,1
E1,G_STRONG_OEM_SUPPORT,0,1,1|2,0,,,,,,,,
E1,G_STRONG_OEM_SUPPORT,1,2,1|2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,BASELINE_BEST,1
E1,H_LARGE_D_WEAK_ADVANTAGE,0,1,1|2,0,,,,,,,,
E1,H_LARGE_D_WEAK_ADVANTAGE,1,2,1|2,0,2,1,0.0500000000000016,4.899999999999999,0.1,0.0,BASELINE_BEST,1
E1,I_LARGE_D_STRONG_ADVANTAGE,0,1,1|2,0,,,,,,,,
E1,I_LARGE_D_STRONG_ADVANTAGE,1,2,1|2,0,2,1,4.95,5.0,0.1,0.0,BASELINE_BEST,1
E1,J_THREE_MEMBER,0,1,1|2|3,0,,,,,,,,
E1,J_THREE_MEMBER,1,1,2|1|3,0,1,1,0.0,0.0,0.0,0.0,BASELINE_BEST,1
E1,K_INPUT_RESET,0,1,1|2,0,,,,,,,,
E1,K_INPUT_RESET,1,2,1|2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,BASELINE_BEST,1
E1,K_INPUT_RESET,2,1,1|2,0,1,2,0.7499999999999971,1.0,0.1,0.0,BASELINE_BEST,1
E1,L_SEGMENT_RESET,0,1,1|2,0,,,,,,,,
E1,L_SEGMENT_RESET,1,2,1|2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,BASELINE_BEST,1
E1,M_CUTIN_MEMBER_TRANSITION,0,1,1|2,0,,,,,,,,
E1,M_CUTIN_MEMBER_TRANSITION,1,2,2|3,0,2,1,,0.0,0.0,0.0,BASELINE_BEST,1
E2,A_STABLE_TWO_MEMBER,0,1,1|2,0,,,,,,,,
E2,A_STABLE_TWO_MEMBER,1,1,1|2,0,1,1,0.0,0.0,0.0,0.0,BASELINE_BEST,1
E2,A_STABLE_TWO_MEMBER,2,1,1|2,0,1,1,0.0,0.0,0.0,0.0,BASELINE_BEST,1
E2,B_MARGINALLY_BETTER_ONE_SCAN,0,1,1|2,0,,,,,,,,
E2,B_MARGINALLY_BETTER_ONE_SCAN,1,1,1|2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,E2_AWAIT_CONFIRMATION,1
E2,B_MARGINALLY_BETTER_ONE_SCAN,2,1,1|2,0,1,1,0.0,0.0,0.0,0.0,BASELINE_BEST,1
E2,C_MARGINALLY_BETTER_THREE_SCANS,0,1,1|2,0,,,,,,,,
E2,C_MARGINALLY_BETTER_THREE_SCANS,1,1,1|2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,E2_AWAIT_CONFIRMATION,1
E2,C_MARGINALLY_BETTER_THREE_SCANS,2,1,1|2,0,1,1,0.0,0.0,0.0,0.0,BASELINE_BEST,1
E2,C_MARGINALLY_BETTER_THREE_SCANS,3,1,1|2,0,1,1,0.0,0.0,0.0,0.0,BASELINE_BEST,1
E2,D_A_B_A_PINGPONG,0,1,1|2,0,,,,,,,,
E2,D_A_B_A_PINGPONG,1,1,1|2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,E2_AWAIT_CONFIRMATION,1
E2,D_A_B_A_PINGPONG,2,1,1|2,0,1,1,0.0,0.0,0.0,0.0,BASELINE_BEST,1
E2,D_A_B_A_PINGPONG,3,1,1|2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,E2_AWAIT_CONFIRMATION,1
E2,E_OLD_REP_DISAPPEARS,0,1,1|2,0,,,,,,,,
E2,E_OLD_REP_DISAPPEARS,1,2,2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,E2_AWAIT_CONFIRMATION,0
E2,F_STRONG_CAMERA_SUPPORT,0,1,1|2,0,,,,,,,,
E2,F_STRONG_CAMERA_SUPPORT,1,2,1|2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,BASELINE_BEST,1
E2,G_STRONG_OEM_SUPPORT,0,1,1|2,0,,,,,,,,
E2,G_STRONG_OEM_SUPPORT,1,2,1|2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,BASELINE_BEST,1
E2,H_LARGE_D_WEAK_ADVANTAGE,0,1,1|2,0,,,,,,,,
E2,H_LARGE_D_WEAK_ADVANTAGE,1,1,1|2,0,2,1,0.0500000000000016,4.899999999999999,0.1,0.0,E2_AWAIT_CONFIRMATION,1
E2,I_LARGE_D_STRONG_ADVANTAGE,0,1,1|2,0,,,,,,,,
E2,I_LARGE_D_STRONG_ADVANTAGE,1,2,1|2,0,2,1,4.95,5.0,0.1,0.0,BASELINE_BEST,1
E2,J_THREE_MEMBER,0,1,1|2|3,0,,,,,,,,
E2,J_THREE_MEMBER,1,1,2|1|3,0,1,1,0.0,0.0,0.0,0.0,BASELINE_BEST,1
E2,K_INPUT_RESET,0,1,1|2,0,,,,,,,,
E2,K_INPUT_RESET,1,1,1|2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,E2_AWAIT_CONFIRMATION,1
E2,K_INPUT_RESET,2,1,1|2,0,1,1,0.0,0.0,0.0,0.0,BASELINE_BEST,1
E2,L_SEGMENT_RESET,0,1,1|2,0,,,,,,,,
E2,L_SEGMENT_RESET,1,1,1|2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,E2_AWAIT_CONFIRMATION,1
E2,M_CUTIN_MEMBER_TRANSITION,0,1,1|2,0,,,,,,,,
E2,M_CUTIN_MEMBER_TRANSITION,1,2,2|3,0,2,1,,0.0,0.0,0.0,BASELINE_BEST,1
E3,A_STABLE_TWO_MEMBER,0,1,1|2,0,,,,,,,,
E3,A_STABLE_TWO_MEMBER,1,1,1|2,0,1,1,0.0,0.0,0.0,0.0,BASELINE_BEST,0
E3,A_STABLE_TWO_MEMBER,2,1,1|2,0,1,1,0.0,0.0,0.0,0.0,BASELINE_BEST,0
E3,B_MARGINALLY_BETTER_ONE_SCAN,0,1,1|2,0,,,,,,,,
E3,B_MARGINALLY_BETTER_ONE_SCAN,1,1,1|2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,E3_NO_SUPPORT_CHANGE,0
E3,B_MARGINALLY_BETTER_ONE_SCAN,2,1,1|2,0,1,1,0.0,0.0,0.0,0.0,BASELINE_BEST,0
E3,C_MARGINALLY_BETTER_THREE_SCANS,0,1,1|2,0,,,,,,,,
E3,C_MARGINALLY_BETTER_THREE_SCANS,1,1,1|2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,E3_NO_SUPPORT_CHANGE,0
E3,C_MARGINALLY_BETTER_THREE_SCANS,2,1,1|2,0,1,1,0.0,0.0,0.0,0.0,BASELINE_BEST,0
E3,C_MARGINALLY_BETTER_THREE_SCANS,3,1,1|2,0,1,1,0.0,0.0,0.0,0.0,BASELINE_BEST,0
E3,D_A_B_A_PINGPONG,0,1,1|2,0,,,,,,,,
E3,D_A_B_A_PINGPONG,1,1,1|2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,E3_NO_SUPPORT_CHANGE,0
E3,D_A_B_A_PINGPONG,2,1,1|2,0,1,1,0.0,0.0,0.0,0.0,BASELINE_BEST,0
E3,D_A_B_A_PINGPONG,3,1,1|2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,E3_NO_SUPPORT_CHANGE,0
E3,E_OLD_REP_DISAPPEARS,0,1,1|2,0,,,,,,,,
E3,E_OLD_REP_DISAPPEARS,1,2,2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,E3_NO_SUPPORT_CHANGE,0
E3,F_STRONG_CAMERA_SUPPORT,0,1,1|2,0,,,,,,,,
E3,F_STRONG_CAMERA_SUPPORT,1,2,1|2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,BASELINE_BEST,0
E3,G_STRONG_OEM_SUPPORT,0,1,1|2,0,,,,,,,,
E3,G_STRONG_OEM_SUPPORT,1,2,1|2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,BASELINE_BEST,0
E3,H_LARGE_D_WEAK_ADVANTAGE,0,1,1|2,0,,,,,,,,
E3,H_LARGE_D_WEAK_ADVANTAGE,1,1,1|2,0,2,1,0.0500000000000016,4.899999999999999,0.1,0.0,E3_NO_SUPPORT_CHANGE,0
E3,I_LARGE_D_STRONG_ADVANTAGE,0,1,1|2,0,,,,,,,,
E3,I_LARGE_D_STRONG_ADVANTAGE,1,2,1|2,0,2,1,4.95,5.0,0.1,0.0,BASELINE_BEST,0
E3,J_THREE_MEMBER,0,1,1|2|3,0,,,,,,,,
E3,J_THREE_MEMBER,1,1,2|1|3,0,1,1,0.0,0.0,0.0,0.0,BASELINE_BEST,0
E3,K_INPUT_RESET,0,1,1|2,0,,,,,,,,
E3,K_INPUT_RESET,1,1,1|2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,E3_NO_SUPPORT_CHANGE,0
E3,K_INPUT_RESET,2,1,1|2,0,1,1,0.0,0.0,0.0,0.0,BASELINE_BEST,0
E3,L_SEGMENT_RESET,0,1,1|2,0,,,,,,,,
E3,L_SEGMENT_RESET,1,1,1|2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,E3_NO_SUPPORT_CHANGE,0
E3,M_CUTIN_MEMBER_TRANSITION,0,1,1|2,0,,,,,,,,
E3,M_CUTIN_MEMBER_TRANSITION,1,2,2|3,0,2,1,,0.0,0.0,0.0,BASELINE_BEST,0
E4,A_STABLE_TWO_MEMBER,0,1,1|2,0,,,,,,,,
E4,A_STABLE_TWO_MEMBER,1,1,1|2,0,1,1,0.0,0.0,0.0,0.0,BASELINE_BEST,0
E4,A_STABLE_TWO_MEMBER,2,1,1|2,0,1,1,0.0,0.0,0.0,0.0,BASELINE_BEST,0
E4,B_MARGINALLY_BETTER_ONE_SCAN,0,1,1|2,0,,,,,,,,
E4,B_MARGINALLY_BETTER_ONE_SCAN,1,2,1|2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,BASELINE_BEST,0
E4,B_MARGINALLY_BETTER_ONE_SCAN,2,1,1|2,0,1,2,0.7499999999999971,1.0,0.1,0.0,BASELINE_BEST,0
E4,C_MARGINALLY_BETTER_THREE_SCANS,0,1,1|2,0,,,,,,,,
E4,C_MARGINALLY_BETTER_THREE_SCANS,1,2,1|2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,BASELINE_BEST,0
E4,C_MARGINALLY_BETTER_THREE_SCANS,2,2,1|2,0,2,2,0.0,0.0,0.0,0.0,BASELINE_BEST,0
E4,C_MARGINALLY_BETTER_THREE_SCANS,3,2,1|2,0,2,2,0.0,0.0,0.0,0.0,BASELINE_BEST,0
E4,D_A_B_A_PINGPONG,0,1,1|2,0,,,,,,,,
E4,D_A_B_A_PINGPONG,1,2,1|2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,BASELINE_BEST,0
E4,D_A_B_A_PINGPONG,2,1,1|2,0,1,2,0.7499999999999971,1.0,0.1,0.0,BASELINE_BEST,0
E4,D_A_B_A_PINGPONG,3,2,1|2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,BASELINE_BEST,0
E4,E_OLD_REP_DISAPPEARS,0,1,1|2,0,,,,,,,,
E4,E_OLD_REP_DISAPPEARS,1,2,2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,BASELINE_BEST,0
E4,F_STRONG_CAMERA_SUPPORT,0,1,1|2,0,,,,,,,,
E4,F_STRONG_CAMERA_SUPPORT,1,2,1|2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,BASELINE_BEST,0
E4,G_STRONG_OEM_SUPPORT,0,1,1|2,0,,,,,,,,
E4,G_STRONG_OEM_SUPPORT,1,2,1|2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,BASELINE_BEST,0
E4,H_LARGE_D_WEAK_ADVANTAGE,0,1,1|2,0,,,,,,,,
E4,H_LARGE_D_WEAK_ADVANTAGE,1,1,1|2,0,2,1,0.0500000000000016,4.899999999999999,0.1,0.0,E4_LARGE_JUMP_WEAK_ADVANTAGE,0
E4,I_LARGE_D_STRONG_ADVANTAGE,0,1,1|2,0,,,,,,,,
E4,I_LARGE_D_STRONG_ADVANTAGE,1,2,1|2,0,2,1,4.95,5.0,0.1,0.0,BASELINE_BEST,0
E4,J_THREE_MEMBER,0,1,1|2|3,0,,,,,,,,
E4,J_THREE_MEMBER,1,1,2|1|3,0,1,1,0.0,0.0,0.0,0.0,BASELINE_BEST,0
E4,K_INPUT_RESET,0,1,1|2,0,,,,,,,,
E4,K_INPUT_RESET,1,2,1|2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,BASELINE_BEST,0
E4,K_INPUT_RESET,2,1,1|2,0,1,2,0.7499999999999971,1.0,0.1,0.0,BASELINE_BEST,0
E4,L_SEGMENT_RESET,0,1,1|2,0,,,,,,,,
E4,L_SEGMENT_RESET,1,2,1|2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,BASELINE_BEST,0
E4,M_CUTIN_MEMBER_TRANSITION,0,1,1|2,0,,,,,,,,
E4,M_CUTIN_MEMBER_TRANSITION,1,2,2|3,0,2,1,,0.0,0.0,0.0,BASELINE_BEST,0
E5,A_STABLE_TWO_MEMBER,0,1,1|2,0,,,,,,,,
E5,A_STABLE_TWO_MEMBER,1,1,1|2,0,1,1,0.0,0.0,0.0,0.0,E5_CURRENT_MEDOID,0
E5,A_STABLE_TWO_MEMBER,2,1,1|2,0,1,1,0.0,0.0,0.0,0.0,E5_CURRENT_MEDOID,0
E5,B_MARGINALLY_BETTER_ONE_SCAN,0,1,1|2,0,,,,,,,,
E5,B_MARGINALLY_BETTER_ONE_SCAN,1,1,1|2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,E5_CURRENT_MEDOID,0
E5,B_MARGINALLY_BETTER_ONE_SCAN,2,1,1|2,0,1,1,0.0,0.0,0.0,0.0,E5_CURRENT_MEDOID,0
E5,C_MARGINALLY_BETTER_THREE_SCANS,0,1,1|2,0,,,,,,,,
E5,C_MARGINALLY_BETTER_THREE_SCANS,1,1,1|2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,E5_CURRENT_MEDOID,0
E5,C_MARGINALLY_BETTER_THREE_SCANS,2,1,1|2,0,1,1,0.0,0.0,0.0,0.0,E5_CURRENT_MEDOID,0
E5,C_MARGINALLY_BETTER_THREE_SCANS,3,1,1|2,0,1,1,0.0,0.0,0.0,0.0,E5_CURRENT_MEDOID,0
E5,D_A_B_A_PINGPONG,0,1,1|2,0,,,,,,,,
E5,D_A_B_A_PINGPONG,1,1,1|2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,E5_CURRENT_MEDOID,0
E5,D_A_B_A_PINGPONG,2,1,1|2,0,1,1,0.0,0.0,0.0,0.0,E5_CURRENT_MEDOID,0
E5,D_A_B_A_PINGPONG,3,1,1|2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,E5_CURRENT_MEDOID,0
E5,E_OLD_REP_DISAPPEARS,0,1,1|2,0,,,,,,,,
E5,E_OLD_REP_DISAPPEARS,1,2,2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,E5_CURRENT_MEDOID,0
E5,F_STRONG_CAMERA_SUPPORT,0,1,1|2,0,,,,,,,,
E5,F_STRONG_CAMERA_SUPPORT,1,2,1|2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,E5_CURRENT_MEDOID,0
E5,G_STRONG_OEM_SUPPORT,0,1,1|2,0,,,,,,,,
E5,G_STRONG_OEM_SUPPORT,1,2,1|2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,E5_CURRENT_MEDOID,0
E5,H_LARGE_D_WEAK_ADVANTAGE,0,1,1|2,0,,,,,,,,
E5,H_LARGE_D_WEAK_ADVANTAGE,1,1,1|2,0,2,1,0.0500000000000016,4.899999999999999,0.1,0.0,E5_CURRENT_MEDOID,0
E5,I_LARGE_D_STRONG_ADVANTAGE,0,1,1|2,0,,,,,,,,
E5,I_LARGE_D_STRONG_ADVANTAGE,1,1,1|2,0,2,1,4.95,5.0,0.1,0.0,E5_CURRENT_MEDOID,0
E5,J_THREE_MEMBER,0,1,1|2|3,0,,,,,,,,
E5,J_THREE_MEMBER,1,3,2|1|3,0,1,1,0.0,0.0,0.0,0.0,E5_CURRENT_MEDOID,0
E5,K_INPUT_RESET,0,1,1|2,0,,,,,,,,
E5,K_INPUT_RESET,1,1,1|2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,E5_CURRENT_MEDOID,0
E5,K_INPUT_RESET,2,1,1|2,0,1,1,0.0,0.0,0.0,0.0,E5_CURRENT_MEDOID,0
E5,L_SEGMENT_RESET,0,1,1|2,0,,,,,,,,
E5,L_SEGMENT_RESET,1,1,1|2,0,2,1,0.04999999999999788,0.09999999999999787,0.1,0.0,E5_CURRENT_MEDOID,0
E5,M_CUTIN_MEMBER_TRANSITION,0,1,1|2,0,,,,,,,,
E5,M_CUTIN_MEMBER_TRANSITION,1,2,2|3,0,2,1,,0.0,0.0,0.0,E5_CURRENT_MEDOID,0
